ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,Meta-Description,Meta-Comments,Meta-SuggestedComponentBlockSize,Meta-RoundUpToIntegerQuantity,Meta-Reference,Meta-LimitStates-LS1-DS1-Description
DOOR.regular.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.59,0.3,Regular Door - General fragility,"This door capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). The modeled failure mode for this door configuration is implicitly defined as the wind load exceeding its pressure resistance during a simulated hurricane event.

LIMITATIONS: Limitations of this capacity function are not explicitly discussed in the provided text, but it is important to understand that the model likely uses a simplified representation of door performance, and the actual failure of standard doors can be influenced by factors such as the door material, the quality of the doorframe and its attachment to the wall, the locking mechanisms, and potential damage from wind-borne debris (though debris impact is modeled separately for openings) - none of which are detailed.",1 EA,1,"peng2013,gurley2005",Door panel torn from hinges
DOOR.regular.001b,0,Peak Wind Pressure,kPa,0,1,normal,3.6,0.2,Regular Door - General fragility,,1 EA,1,"gurley2005,jain2020",Door panel torn from hinges
DOOR.regular.001c,0,Peak Wind Pressure,kPa,0,1,normal,2.394,0.2,Regular Door - General fragility,"This is the general representation of an entry door's resistance to pressure. The primary failure mode considered for the entry door under pressure is pressure-induced failure, where the wind load acting on the door exceeds its resistance capacity, leading to a breach in the building envelope. This breach can then affect internal pressure and potentially lead to further damage.

LIMITATIONS: The sources do not explicitly specify the precise type of entry door that this capacity function considers. Resistances assigned to building components are based on results from laboratory test data, engineering analyses coupled with laboratory data, and in some cases, engineering judgment. The model might not fully capture the wide variety of entry door constructions, installation methods, the condition of the door and its frame, or the complexities of failure mechanisms that can occur during a hurricane. Further, the lack of specific details about the test series or engineering analyses used to derive these fragility parameters for entry doors, makes it difficult to fully understand the empirical or analytical basis for this specific capacity function.",1 EA,1,vickery2006,Door panel torn from hinges
DOOR.impact_resistant.001,0,Peak Wind Pressure,kPa,0,1,normal,7.18,0.3,Impact resistant laminated glass door,"This door capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). This configuration aims to increase the pressure capacity of entry doors. The modeled failure mode is implicitly the exceedance of this higher pressure resistance by wind loads during a hurricane. 

LIMITATIONS: Limitations of this capacity function are not explicitly detailed in these excerpts, but it's reasonable to infer that the FPHLM likely uses standardized testing procedures, and the actual performance of impact-resistant doors in a hurricane could still be influenced by factors not fully captured in the model, such as the specifics of the door construction, the quality of frame installation, and the performance under prolonged or cyclic loading, which are not elaborated upon.",1 EA,1,"gurley2005,peng2013",Door panel torn from hinges
DOOR.shutters.001,0,Peak Wind Pressure,kPa,0,1,normal,5.41,0.3,Regular Door with Hurricane Shutters,"This door capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). This configuration aims to increase the pressure capacity of entry doors. The modeled failure mode is implicitly the exceedance of this higher pressure resistance by wind loads during a hurricane. Furthermore, the model assumes that with hurricane shutters on doors, the probability of debris damage is zero.

LIMITATIONS: Limitations of this capacity function are not explicitly discussed within the provided text, but it is important to acknowledge that real-world performance can vary based on the specific type and quality of the shutters, the installation methods used for doors, and the condition of the underlying door frame, details of which are not elaborated upon in these excerpts.",1 EA,1,"gurley2005,peng2013",Door panel torn from hinges
DOOR.glass.001a,0,Peak Wind Pressure,kPa,0,1,weibull,2.45,4.08,Glass Door,"The study uses a light-frame residential building archetype to assess hurricane damage in Port St. Lucie, FL. Damage analysis described in this study does not explicitly model or account for the effects of wind-borne debris. The archetype building is 8.5m (28 ft) by 12.2m (40 ft), one story, with a mean roof height of 3.8m (12.5 ft). The authors used the American Society of Testing and Materials (ASTM) Standard E-1300 (2003) to specify the strength of annealed glass under uniform wind pressure with a 60-second load duration and a probability of failure of 0.0081. The 60-second resistance value of annealed glass was converted to a 3-second strength by multiplying it by a factor of 1.21. This conversion was done to be consistent with the 3-second gust wind used in ASCE-7. A Weibull cumulative distribution was used to model the probability of failure of the brittle material (glass) under uniform wind load. This is stated as a common model for defining the failure probability of brittle materials like glass. The coefficient of variation of glass strength was noted to be in the range of 0.22–0.27.

LIMITATIONS: The building archetype may not represent the diversity of real-world residential structures and ages within a community. Further, the study does not account for complex terrain effects on wind loads, potentially limiting the applicability of the findings to more varied real-world scenarios. ASTM E-1300 specifies strength under uniform wind pressure. However, wind loads on buildings, especially during hurricanes, can be complex and non-uniform, with varying pressures at different locations on a window. Additionally, while the study converts the 60-second resistance to a 3-second strength, this conversion factor is an approximation. The actual behavior of glass under different load durations might be more complex. Additionally, the strength of weathered or previously damaged glass might be lower than that of new, undamaged glass, which is likely what ASTM standards address. This time-dependent degradation of glass strength is not explicitly considered.",1 EA,1,dong2016,Glass breaking
DOOR.glass.001b,0,Peak Wind Pressure,kPa,0,1,weibull,4.86,4.5,Glass Door,"This is the general representation of single-glazed (SG) doors as a specific type of door component, which would include sliding glass doors with single panes of glass. The primary failure mode considered for the SG door under pressure is pressure-induced failure, where the wind load acting on the door exceeds its resistance capacity, leading to a breach in the building envelope. This breach can then affect internal pressure and potentially lead to further damage.

LIMITATIONS: The sources do not explicitly specify the precise type of entry door that this capacity function considers. Resistances assigned to building components are based on results from laboratory test data, engineering analyses coupled with laboratory data, and in some cases, engineering judgment. The model might not fully capture the wide variety of SG door constructions, installation methods, the condition of the door and its frame, or the complexities of failure mechanisms that can occur during a hurricane. Further, the lack of specific details about the test series or engineering analyses used to derive these fragility parameters for SG doors, makes it difficult to fully understand the empirical or analytical basis for this specific capacity function.",1 EA,1,vickery2006,Glass breaking
DOOR.regular.002,0,Peak Wind Pressure,kPa,0,1,normal,4.79,0.2,"Regular Door 6'10"" x 3'2"" size",,1 EA,1,"gurley2005,yau2011,grayson2013,kakareko2021",Door panel torn from hinges
DOOR.garage.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.39,0.3,Garage Door - General fragility,"This garage door capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). The primary modeled failure mode is the garage door being torn from its tracks when wind load exceeds its resistance capacity.

LIMITATIONS: Limitations of this capacity function are not explicitly discussed in the provided text. The failure can be influenced by factors such as the material and construction of the door, the strength and attachment of the supporting tracks and hardware, and potential damage from wind-borne debris (though debris impact is modeled separately for openings) - none of which are detailed.",1 EA,1,"peng2013,gurley2005",Garage door torn from tracks
DOOR.garage.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.2,Garage Door - General fragility,,1 EA,1,"shen2013,jain2020",Garage door torn from tracks
DOOR.garage.001c,0,Peak Wind Pressure,kPa,0,1,normal,3.49,0.2,Garage Door - General fragility,,1 EA,1,unnikrishnan2017,Garage door torn from tracks
DOOR.garage.001d,0,Peak Wind Pressure,kPa,0,1,normal,1.436,0.2,Garage Door - General fragility,"This fragility describes the interior garage door. It is treated as a general category of a door located within the building, separating the garage space from the interior living space.

LIMITATIONS: The capacity function represents a simplification of real-world door behavior, and the sources lack specific information on the test series or engineering analyses used to derive these parameters for this particular type of garage door. The model also does not explicitly account for potential vulnerabilities related to the door's connection to the surrounding wall or the operation of the garage door mechanism itself under pressure loads.",1 EA,1,vickery2006,Garage door torn from tracks
DOOR.garage.002,0,Peak Wind Pressure,kPa,0,1,normal,3.59,0.3,Wind-reinforced Garage Door,"This enhanced garage door capacity is assumed 1.5 times the standard capacity. The modeled failure mode for this garage door configuration is implicitly defined as the wind load exceeding its pressure resistance during a simulated hurricane event. 

LIMITATIONS: Limitations of this capacity function are not explicitly discussed in the provided text, but it is reasonable to assume that this is a simplified representation. The actual performance of reinforced garage doors can be influenced by the specifics of the reinforcement, the quality of installation of tracks and hardware, and potential impact from debris (though debris impact is modeled separately for openings), details of which are not elaborated upon in these excerpts.",1 EA,1,peng2013,Garage door torn from tracks
DOOR.garage.003,0,Peak Wind Pressure,kPa,0,1,normal,2.49,0.2,"2-car Garage Door (6'10"" x 12"")",,1 EA,1,"gurley2005,yau2011,grayson2013,kakareko2021",Garage door torn from tracks
DOOR.garage.004a,0,Peak Wind Pressure,kPa,0,1,normal,0.479,0.2,Double garage door - weak,"The primary modeled failure mode for this component is pressure-induced failure, occurring when the wind load exceeds this resistance, leading to a breach in the building envelope. The distinction between ""weak"" and ""strong"" double garage doors within the model implies different construction or reinforcement levels, resulting in varying resistance to pressure, although the sources do not provide specific details on the structural characteristics that differentiate them. Resistances assigned to building components in the HAZUS model are based on results from laboratory test data, engineering analyses coupled with laboratory data, and in some cases, engineering judgment. 

LIMITATIONS: This capacity function represents a simplification of real-world door behavior, and the sources lack specific information on the test series or engineering analyses used to derive these parameters for this particular type of garage door.",1 EA,1,vickery2006,Garage door torn from tracks
DOOR.garage.004b,0,Peak Wind Pressure,kPa,0,1,normal,0.958,0.2,Double garage door - strong,"The primary modeled failure mode for this component is pressure-induced failure, occurring when the wind load exceeds this resistance, leading to a breach in the building envelope. The distinction between ""weak"" and ""strong"" double garage doors within the model implies different construction or reinforcement levels, resulting in varying resistance to pressure, although the sources do not provide specific details on the structural characteristics that differentiate them. Resistances assigned to building components in the HAZUS model are based on results from laboratory test data, engineering analyses coupled with laboratory data, and in some cases, engineering judgment. 

LIMITATIONS: This capacity function represents a simplification of real-world door behavior, and the sources lack specific information on the test series or engineering analyses used to derive these parameters for this particular type of garage door.",1 EA,1,vickery2006,Garage door torn from tracks
WSH.001a,0,Peak Wind Pressure,kPa,0,1,normal,4.92,0.11,Wall Sheathing - General fragility,"This is a general representation of wall sheathing resistance. Wall sheathing is included as a modeled structural component in the HAZUS-MH hurricane model. The primary failure mode modeled for this component is sheathing being torn off. Resistances assigned to building components in the HAZUS model are based on results from laboratory test data, engineering analyses coupled with laboratory data, and in some cases, engineering judgment. 

LIMITATIONs: This capacity function represents a simplification of real-world wall sheathing behavior under wind loads. ",1 EA,1,"vickery2006,kakareko2021",Sheathing torn off
WSH.001b,0,Peak Wind Pressure,kPa,0,1,normal,6.03,0.4,Wall Sheathing - General fragility,,1 EA,1,"cope2004,unnikrishnan2017",Sheathing torn off
WSH.002a,0,Peak Wind Pressure,kPa,0,1,normal,1.2,0.15,"Wall Sheathing - 6d common nails (2"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,grayson2013",Sheathing torn off
WSH.002b,0,Peak Wind Pressure,kPa,0,1,normal,1.53,0.15,"Wall Sheathing - 6d common nails (2"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,grayson2013",Sheathing torn off
WSH.003a,0,Peak Wind Pressure,kPa,0,1,normal,2.76,0.2,"Wall Sheathing - 8d common nails (2.5"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,grayson2013",Sheathing torn off
WSH.003b,0,Peak Wind Pressure,kPa,0,1,normal,3.51,0.2,"Wall Sheathing - 8d common nails (2.5"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,grayson2013",Sheathing torn off
WALL.001a,0,Peak Line Force,kNpm,0,1,normal,15.834,0.2,Wood Wall - General fragility,,1 EA,1,cope2004,Shear failure
WALL.001b,0,Peak Internal Force,kN,0,1,normal,5.48,0.2,Wood Wall - General fragility,,1 EA,1,cope2004,Lateral failure (connection)
WALL.001c,0,Peak Internal Force,kN,0,1,normal,51.54,0.2,Wood Wall - General fragility,,1 EA,1,cope2004,Lateral failure (additional)
WALL.001d,0,Peak Line Force,kNpm,0,1,normal,8.99,0.25,Wood Wall - General fragility,,1 EA,1,"cope2004,unnikrishnan2017",Uplift (connection)
WALL.001e,0,Peak Line Force,kNpm,0,1,normal,5.794,0.25,Wood Wall - General fragility,,1 EA,1,"cope2004,unnikrishnan2017",Uplift (additional)
WALL.002a,0,Peak Line Force,kNpm,0,1,normal,16.05,0.2,Wall - Unreinforced gable ends,"This component represents an unreinforced gable end wall within the structural damage simulation model developed for the Florida Public Hurricane Loss Model (FPHLM). Gable end walls are modeled as part of the overall wall damage framework, which uses unity checks to determine potential failure. The specific failure mode for this component is Shear failure. 

LIMITATIONS: The wall model in the FPHLM is a simplification, for example, treating walls as having simple supports, which is noted as an oversimplification of true conditions. Specific construction details for these unreinforced gable end walls, such as materials or specific fastening schedules, are not explicitly detailed within the provided excerpts. Component capacities in the model are statistical representations based on available literature and engineering judgment, which may not fully capture the variability in actual construction practices or performance. Validation of the model, including wall damage, is limited by available detailed damage data.",1 EA,1,"gurley2005,peng2013",Shear failure
WALL.002b,0,Peak Line Force,kNpm,0,1,normal,29.19,0.2,Wall - Unreinforced gable ends,"This component represents an unreinforced gable end wall within the structural damage simulation model developed for the Florida Public Hurricane Loss Model (FPHLM). Gable end walls are modeled as part of the overall wall damage framework, which uses unity checks to determine potential failure. The model predicts failure based on wind-induced loads exceeding the component's capacity, with the specific failure mode for this component being Out of plane failure. 

LIMITATIONS: The wall model in the FPHLM is a simplification, for example, treating walls as having simple supports, which is noted as an oversimplification of true conditions. Specific construction details for these unreinforced gable end walls, such as materials or specific fastening schedules, are not explicitly detailed within the provided excerpts. Component capacities in the model are statistical representations based on available literature and engineering judgment, which may not fully capture the variability in actual construction practices or performance. Validation of the model, including wall damage, is limited by available detailed damage data",1 EA,1,"gurley2005,peng2013",Out of plane failure
WALL.002c,0,Peak Line Force,kNpm,0,1,normal,14.59,0.2,Wall - Unreinforced gable ends,"This component represents an unreinforced gable end wall within the structural damage simulation model developed for the Florida Public Hurricane Loss Model (FPHLM). Gable end walls are modeled as part of the overall wall damage framework, which uses unity checks to determine potential failure. The model predicts failure based on wind-induced loads exceeding the component's capacity, with the specific failure mode for this component being Uplift.
 
LIMITATIONS: The wall model in the FPHLM is a simplification, for example, treating walls as having simple supports, which is noted as an oversimplification of true conditions. Specific construction details for these unreinforced gable end walls, such as materials or specific fastening schedules, are not explicitly detailed within the provided excerpts. Component capacities in the model are statistical representations based on available literature and engineering judgment, which may not fully capture the variability in actual construction practices or performance. Validation of the model, including wall damage, is limited by available detailed damage data",1 EA,1,"gurley2005,peng2013",Uplift
WALL.003a,0,Peak Line Force,kNpm,0,1,normal,16.05,0.2,Wall - Reinforced gable ends,"This component represents a reinforced gable end wall within the structural damage simulation model developed for the Florida Public Hurricane Loss Model (FPHLM). Gable end walls are modeled as part of the overall wall damage framework, which uses unity checks to determine potential failure. The model predicts failure based on wind-induced loads exceeding the component's capacity, with the specific failure mode for this component being Shear failure. This type is categorized as ""Reinforced"", implying an enhanced resistance compared to ""Unreinforced"" walls, and potentially corresponding to a retrofit strategy. 

LIMITATIONS: The wall model in the FPHLM is a simplification, for example, treating walls as having simple supports, which is noted as an oversimplification of true conditions. Specific construction details for these reinforced gable end walls, particularly the nature and extent of the ""Reinforcement"", are not explicitly detailed within the provided excerpts. Component capacities in the model are statistical representations based on available literature and engineering judgment, which may not fully capture the variability in actual construction practices or performance. Validation of the model, including wall damage, is limited by available detailed damage data",1 EA,1,"gurley2005,peng2013",Shear failure
WALL.003b,0,Peak Line Force,kNpm,0,1,normal,43.78,0.2,Wall - Reinforced gable ends,"This component represents a reinforced gable end wall within the structural damage simulation model developed for the Florida Public Hurricane Loss Model (FPHLM). Gable end walls are modeled as part of the overall wall damage framework, which uses unity checks to determine potential failure. The model predicts failure based on wind-induced loads exceeding the component's capacity, with the specific failure mode for this component being Out of plane failure. This type is categorized as ""Reinforced"", implying an enhanced resistance compared to ""Unreinforced"" walls, and potentially corresponding to a retrofit strategy. 

LIMITATIONS: The wall model in the FPHLM is a simplification, for example, treating walls as having simple supports, which is noted as an oversimplification of true conditions. Specific construction details for these reinforced gable end walls, particularly the nature and extent of the ""Reinforcement"", are not explicitly detailed within the provided excerpts. Component capacities in the model are statistical representations based on available literature and engineering judgment, which may not fully capture the variability in actual construction practices or performance. Validation of the model, including wall damage, is limited by available detailed damage data",1 EA,1,"gurley2005,peng2013",Out of plane failure
WALL.003c,0,Peak Line Force,kNpm,0,1,normal,14.59,0.2,Wall - Reinforced gable ends,"This component represents a reinforced gable end wall within the structural damage simulation model developed for the Florida Public Hurricane Loss Model (FPHLM). Gable end walls are modeled as part of the overall wall damage framework, which uses unity checks to determine potential failure. The model predicts failure based on wind-induced loads exceeding the component's capacity, with the specific failure mode for this component being Uplift. This type is categorized as ""Reinforced"", implying an enhanced resistance compared to ""Unreinforced"" walls, and potentially corresponding to a retrofit strategy. 

LIMITATIONS: The wall model in the FPHLM is a simplification, for example, treating walls as having simple supports, which is noted as an oversimplification of true conditions. Specific construction details for these reinforced gable end walls, particularly the nature and extent of the ""Reinforcement"", are not explicitly detailed within the provided excerpts. Component capacities in the model are statistical representations based on available literature and engineering judgment, which may not fully capture the variability in actual construction practices or performance. Validation of the model, including wall damage, is limited by available detailed damage data",1 EA,1,"gurley2005,peng2013",Uplift
WALL.004a,0,Peak Wind Pressure,kPa,0,1,normal,1351.37,0.2,Concrete block,,1 EA,1,cope2004,Shear failure
WALL.004b,0,Peak Internal Force,kN,0,1,normal,17.79,0.2,Concrete block,,1 EA,1,cope2004,Uplift
RSH.nails.6d.6p12.001,0,Peak Wind Pressure,kPa,0,1,lognormal,2.598,0.11,Roof Sheathing with 6d nails @ 6/12 in,"The HAZUS model considers plywood and oriented strand board (OSB) as typical materials for roof sheathing panels. In the American wire gauge (AWG) system, a ""6d"" nail is a common size, typically referring to a nail that is approximately 2 inches (51 mm) long. The diameter will also be standardized for this penny size. While the HAZUS model uses ""6d"" to differentiate between different roof sheathing connection strengths. 6/12 in nail pattern for roof sheathing with 6d nails most likely means that the 6d nails are spaced 6 inches apart along one axis of the sheathing panel and 12 inches apart along the perpendicular axis. This creates a grid pattern of nail fasteners securing the sheathing to the underlying roof structure.

LIMITATIONS: The capacity function represents a simplification of real-world roof sheathing behavior, and the sources lack specific information on the test series or engineering analyses used to derive these parameters for this particular type of roof sheathing.",1 EA,1,vickery2006,Separation or pull off
RSH.nails.8d.6p6.001,0,Peak Wind Pressure,kPa,0,1,lognormal,8.614,0.11,Roof Sheathing with 8d nails @ 6/6 in,"The HAZUS model considers plywood and oriented strand board (OSB) as typical materials for roof sheathing panels. In the American wire gauge (AWG) system, an ""8d"" nail is a common size, typically referring to a nail that is approximately 2 1/2 inches (64 mm) long, and it will have a standardized diameter for this penny size. While the HAZUS model uses ""8d"" to differentiate between different roof sheathing connection strengths. 6/6 in nail pattern for roof sheathing with 8d nails most likely means that the 8d nails are spaced 6 inches apart along one axis of the sheathing panel and 6 inches apart along the perpendicular axis. This creates a grid pattern of nail fasteners securing the sheathing to the underlying roof structure.

LIMITATIONS: The capacity function represents a simplification of real-world roof sheathing behavior, and the sources lack specific information on the test series or engineering analyses used to derive these parameters for this particular type of roof sheathing.",1 EA,1,vickery2006,Separation or pull off
RSH.nails.8d.6p12.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.873,0.2,Roof Sheathing with 8d nails @ 6/12 in,,1 EA,1,"rosowsky1996,li2006",Separation or pull off
RSH.nails.8d.6p12.001b,0,Peak Wind Pressure,kPa,0,1,lognormal,6.156,0.12,Roof Sheathing with 8d nails @ 6/12 in,,1 EA,1,unnikrishnan2017,Separation or pull off
RSH.nails.8d.6p12.001c,0,Peak Wind Pressure,kPa,0,1,lognormal,4.902,0.11,Roof Sheathing with 8d nails @ 6/12 in,"The HAZUS model considers plywood and oriented strand board (OSB) as typical materials for roof sheathing panels. In the American wire gauge (AWG) system, an ""8d"" nail is a common size, typically referring to a nail that is approximately 2 1/2 inches (64 mm) long, and it will have a standardized diameter for this penny size. While the HAZUS model uses ""8d"" to differentiate between different roof sheathing connection strengths. 6/12 in nail pattern for roof sheathing with 6d nails most likely means that the 8d nails are spaced 6 inches apart along one axis of the sheathing panel and 12 inches apart along the perpendicular axis. This creates a grid pattern of nail fasteners securing the sheathing to the underlying roof structure. 

LIMITATIONS: The capacity function represents a simplification of real-world roof sheathing behavior, and the sources lack specific information on the test series or engineering analyses used to derive these parameters for this particular type of roof sheathing.",1 EA,1,vickery2006,Separation or pull off
RSH.nails.6d.6p12.002,0,Peak Wind Pressure,kPa,0,1,lognormal,1.218,0.218,"Roof Sheathing with 6d common nails (2.375"" length) @ 6/12 in",,1 EA,1,datin2011,Separation or pull off
RSH.nails.6d.6p12.003a,0,Peak Wind Pressure,kPa,0,1,normal,2.94,0.161,"Roof Sheathing with 6d common nails (2"" length) @ 6/12 in",,1 EA,1,datin2011,Separation or pull off
RSH.nails.6d.6p12.003b,0,Peak Wind Pressure,kPa,0,1,normal,1.2,0.15,"Roof Sheathing with 6d common nails (2"" length) @ 6/12 in",,1 EA,1,"rosowsky1996,rosowsky1999,lee2005,li2006,park2014",Separation or pull off
RSH.nails.6d.6p12.003c,0,Peak Wind Pressure,kPa,0,1,normal,1.53,0.15,"Roof Sheathing with 6d common nails (2"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,park2014",Separation or pull off
RSH.nails.6d.6p6.001,0,Peak Wind Pressure,kPa,0,1,normal,5.18,0.269,"Roof Sheathing with 6d common nails (2"" length) @ 6/6 in",,1 EA,1,datin2011,Separation or pull off
RSH.nails.8d.6p12.002a,0,Peak Wind Pressure,kPa,0,1,lognormal,1.817,0.114,"Roof Sheathing with 8d common nails (2.5"" length) @ 6/12 in",,1 EA,1,datin2011,Separation or pull off
RSH.nails.8d.6p12.002b,0,Peak Wind Pressure,kPa,0,1,normal,2.76,0.2,"Roof Sheathing with 8d common nails (2.5"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,park2014",Separation or pull off
RSH.nails.8d.6p12.002c,0,Peak Wind Pressure,kPa,0,1,normal,3.51,0.2,"Roof Sheathing with 8d common nails (2.5"" length) @ 6/12 in",,1 EA,1,"rosowsky1999,lee2005,park2014",Separation or pull off
RSH.nails.8d.6p8.001,0,Peak Wind Pressure,kPa,0,1,lognormal,2.12,0.114,Roof Sheathing with 8d common nails (2.5 in length) @ 6/8 in,,1 EA,1,datin2011,Separation or pull off
RSH.nails.8d.6p6.002,0,Peak Wind Pressure,kPa,0,1,lognormal,2.28,0.104,Roof Sheathing with 8d common nails (2.5 in length) @ 6/6 in,,1 EA,1,datin2011,Separation or pull off
RSH.nails.8d.6p12.003,0,Peak Wind Pressure,kPa,0,1,weibull,4.43,3.28,Roof Sheathing with 8d ring shank nails (2.5 in length) @ 6/12 in,,1 EA,1,datin2011,Separation or pull off
RSH.nails.8d.6p8.002,0,Peak Wind Pressure,kPa,0,1,lognormal,2.323,0.164,Roof Sheathing with 8d ring shank nails (2.5 in length) @ 6/8 in,,1 EA,1,datin2011,Separation or pull off
RSH.nails.8d.6p6.003,0,Peak Wind Pressure,kPa,0,1,lognormal,2.489,0.073,Roof Sheathing with 8d ring shank nails (2.5 in length) @ 6/6 in,,1 EA,1,datin2011,Separation or pull off
RSH.nails_ccspf.8d.6p12.001,0,Peak Wind Pressure,kPa,0,1,normal,7.42,0.166,Roof Sheathing with 8d ring shank nails @ 6/12 in and a fillet ccSPF application,,1 EA,1,datin2011,Separation or pull off
RSH.nails_ccspf.6d.6p12.001,0,Peak Wind Pressure,kPa,0,1,normal,8.38,0.1,Roof Sheathing with 6d common nails @ 6/12 in and a fillet ccSPF application,,1 EA,1,datin2011,Separation or pull off
RSH.ccspf.001,0,Peak Wind Pressure,kPa,0,1,lognormal,2.193,0.175,Roof Sheathing with no nails and a fillet ccSPF application,,1 EA,1,datin2011,Separation or pull off
RSH.ccspf.002,0,Peak Wind Pressure,kPa,0,1,normal,8.54,0.209,Roof Sheathing with no nails and a fillet plus 0.5 in coverage ccSPF application,,1 EA,1,datin2011,Separation or pull off
RSH.nails_ccspf.8d.6p12.002,0,Peak Wind Pressure,kPa,0,1,normal,11.72,0.163,Roof Sheathing with 8d ring shank nails @ 6/12 in and a 3 in full coverage ccSPF application with 24-39 day cure time,,1 EA,1,datin2011,Separation or pull off
RSH.nails_ccspf.6d.6p12.002,0,Peak Wind Pressure,kPa,0,1,normal,11.99,0.125,Roof Sheathing with 6d common nails @ 6/12 in and a 3 in full coverage ccSPF application with 19-20 day cure time,,1 EA,1,datin2011,Separation or pull off
RSH.nails_ccspf.8d.6p12.003,0,Peak Wind Pressure,kPa,0,1,normal,10.53,0.227,Roof Sheathing with 8d ring shank nails @ 6/12 in and a 3 in full coverage ccSPF application with 129-130 day cure time,,1 EA,1,datin2011,Separation or pull off
RSH.ccspf.003,0,Peak Wind Pressure,kPa,0,1,lognormal,2.353,0.182,Roof Sheathing with no nails and a 3 in full coverage ccSPF application with 12-15 day cure time,,1 EA,1,datin2011,Separation or pull off
WCOV.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.4,"Wall Cover - General fragility, lower end",,1 EA,1,abdelhady2022,Separation or pull off
WCOV.001b,0,Peak Wind Pressure,kPa,0,1,normal,5.5,0.4,"Wall Cover - General fragility, higher end",,1 EA,1,abdelhady2022,Separation or pull off
WCOV.002,0,Peak Wind Pressure,kPa,0,1,normal,3.2,0.2,Wall Cover with Vinyl Siding,,1 EA,1,"gurley2005,jain2020",Separation or pull off
WCOV.003,0,Peak Wind Pressure,kPa,0,1,lognormal,4,0.29,Wall Cover with Curtain Walls 30 sq ft size and 6:5 aspect ratio,,30 ft2,1,"puga2015, angeles2021",Curtain wall torn off
RCOV.tiles.clay.001,0,Peak Wind Force,kN,0,1,normal,1.766,0.228,Roof Cover - Clay Tiles with adhesive,"The study uses a light-frame residential building archetype to assess hurricane damage in Port St. Lucie, FL. Damage analysis described in this study does not explicitly model or account for the effects of wind-borne debris. The archetype building is 8.5m (28 ft) by 12.2m (40 ft), one story, with a mean roof height of 3.8m (12.5 ft) and a roof type of 6:12 slope gable roof without overhang. The roof covering is adhesive-set clay tiles with parameters determined from published experimental studies.

LIMITATIONS: The building archetype may not represent the diversity of real-world residential structures and ages within a community. Further, the study does not account for complex terrain effects on wind loads, potentially limiting the applicability of the findings to more varied real-world scenarios. Though the tiles' fragilities are taken from experimental data, the authors acknowledge this is among the first to analyze the fragility of clay tiles, implying there's a lack of established comparison data.",1 EA,1,"shdid2011,dong2016",Debonding of foam from ridge board
RCOV.tiles.concrete.001,0,Peak Wind Force,kN,0,1,normal,1.259,0.134,Roof Cover - Concrete Tiles with adhesive,,1 EA,1,shdid2011,Debonding of ridge tile from foam
RCOV.tiles.clay.002,0,Peak Wind Force,kN,0,1,normal,0.267,0.528,Roof Cover - Clay Tiles with mortar,,1 EA,1,shdid2011,Debonding of field tile from mortar
RCOV.tiles.concrete.002,0,Peak Wind Force,kN,0,1,normal,2.513,0.14,Roof Cover - Concrete Tiles with mortar,,1 EA,1,shdid2011,Debonding of ridge tile from mortar
RCOV.shingles.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.39,0.4,Roof Cover - Asphalt Shingles with standard construction and nail pattern,"This asphalt shingle capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). The modeled failure mode for this roof cover configuration is implicitly defined as the wind load exceeding its resistance capacity during a simulated hurricane event. 

LIMITATIONS: Limitations of this capacity function are not explicitly discussed in the provided text. The actual failure can be influenced by factors such as the specific type and age of shingles, the quality and spacing of nails, the condition of the underlying sheathing, and potential damage from wind-borne debris (though debris impact is modeled separately for openings) - none of which are detailed.",1 EA,1,"gurley2005,peng2013",Separation or pull off
RCOV.shingles.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.9,0.2,Roof Cover - Asphalt Shingles with standard construction and nail pattern,,1 EA,1,"gurley2005,jain2020",Separation or pull off
RCOV.shingles.002a,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.4,Roof Cover - Shingles with high-wind construction and nail pattern,,1 EA,1,"gurley2005,grayson2013",Separation or pull off
RCOV.shingles.002b,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.3,Roof Cover - Shingles with high-wind construction and nail pattern,,1 EA,1,"gurley2005,kakareko2021",Separation or pull off
